"Date","Home","Away","Home Score","Away Score","Winner","Total","LookupKey"
"2026-04-08","PIT","SD","2","8","SD","10","20260408PITSD"
"2026-04-08","CLE","KC","10","2","CLE","12","20260408CLEKC"
"2026-04-08","BOS","MIL","5","0","BOS","5","20260408BOSMIL"
"2026-04-08","CWS","BAL","3","5","BAL","8","20260408CWSBAL"
"2026-04-08","TEX","SEA","3","0","TEX","3","20260408TEXSEA"
"2026-04-08","TOR","LAD","4","3","TOR","7","20260408TORLAD"
"2026-04-08","COL","HOU","9","1","COL","10","20260408COLHOU"
"2026-04-08","SF","PHI","5","0","SF","5","20260408SFPHI"
"2026-04-08","WSH","STL","1","6","STL","7","20260408WSHSTL"
"2026-04-08","LAA","ATL","2","8","ATL","10","20260408LAAATL"
"2026-04-08","NYM","ARI","2","7","ARI","9","20260408NYMARI"
"2026-04-08","TB","CHC","2","6","CHC","8","20260408TBCHC"
"2026-04-08","MIA","CIN","7","4","MIA","11","20260408MIACIN"
"2026-04-08","NYY","OAK","2","3","OAK","5","20260408NYYOAK"
"2026-04-08","MIN","DET","8","6","MIN","14","20260408MINDET"